Taxa,Bavg,Aavg,Bind,Mi,Ri,Sensitivity,Recoverability
Abra nitida,0.07128,2.66667,0.02673,2,2,0.375,0.9
Abyssoninoe hibernica,0.14979,21,0.00713,3,4,0.4125,0.35
Acidostoma obesum,0.00052,0.16667,0.0031,3,2,0.375,0.35
Amaeana trilobata,0.19062,8.66667,0.02199,1,3,0.575,0.866666667
Ampelisca gibba,0.00033,0.33333,0.001,1,2,0.4375,0.3
Amphiura chiajei,2.24315,45.16667,0.04966,3,4,0.4875,0.7
Amphiura filiformis,0.00543,1.33333,0.00408,3,4,0.4875,0.7
Anobothrus gracilis,0.00243,1,0.00243,1,3,0.575,0.45
Antalis entalis,0.03965,0.16667,0.2379,2,3,0.425,0.4
Antalis vulgaris,0.00112,0.16667,0.0067,2,3,0.425,0.4
Aphelochaeta ,0.00249,0.66667,0.00373,2,2,0.575,0.383333333
Apistobranchus tullbergi,0.00002,0.16667,0.0001,3,2,0.5,0.9
Aporrhais serresianus,0.82698,0.5,1.65397,3,2,0.425,0.566666667
Apseudes spinosus,0.00533,1.33333,0.004,2,2,0.408333333,0.35
Astacilla dilatata,0.00012,0.33333,0.00035,3,4,0.466666667,0.3
Astropecten irregularis,0.23335,0.16667,1.4001,3,2,0.425,0.766666667
Augeneria tentaculata,0.03915,3,0.01305,3,4,0.55625,0.35
Axinulus croulinensis,0.00831,13.66667,0.00061,2,3,0.35,0.616666667
Bathymedon longimanus,0.00013,0.16667,0.0008,3,2,0.35,0.3
Brissopsis lyrifera,7.20675,3.5,2.05907,3,4,0.4,0.766666667
Byblis gaimardii,0.01415,2.83333,0.005,4,2,0.425,0.3
Campylaspis costata,0.00038,0.66667,0.00058,3,2,0.35,0.35
Capulus ungaricus,0.0006,0.16667,0.0036,2,1,0.525,0.466666667
Ceratocephale loveni,0.03873,2.66667,0.01453,3,4,0.625,0.511111111
Cerebratulus,0.81507,11.33333,0.07192,3,4,0.577083333,0.466666667
Cerianthus lloydii,0.02222,0.33333,0.06665,1,2,0.59375,0.666666667
Cirratulus caudatus,0.00047,0.16667,0.0028,2,2,0.5,0.244444444
Clymenella cincta,0.00048,0.16667,0.0029,1,3,0.608333333,0.533333333
Corbula gibba,0.00713,0.33333,0.0214,2,2,0.375,0.9
Cuspidaria cuspidata,0.01532,0.16667,0.0919,2,3,0.4125,0.833333333
Cuspidaria obesa,0.0056,0.5,0.0112,2,3,0.4125,0.833333333
Dasybranchus,0.01878,0.16667,0.1127,2,3,0.58,0.577777778
Dialychone collaris,0.00638,3,0.00213,1,2,0.675,0.566666667
Diastylis lucifera,0.0004,1.16667,0.00034,3,2,0.391666667,0.3
Diplocirrus glaucus,0.0123,1.83333,0.00671,2,3,0.525,0.333333333
Dipolydora socialis,0.00522,0.33333,0.01565,3,4,0.7625,0.6
Ditrupa arietina,0.08971,1.83333,0.04893,1,1,0.6,0.733333333
Eclysippe vanelli,0.004,3.66667,0.00109,1,3,0.55,0.516666667
Ennucula tenuis,0.02698,1.66667,0.01619,3,2,0.325,0.466666667
Eriopisa elongata,0.00687,4.5,0.00153,2,2,0.375,0.35
Eudorella emarginata,0.00063,0.83333,0.00075,3,2,0.3375,0.35
Eulima bilineata,0.00013,0.16667,0.0008,3,4,0.5,0.566666667
Eunereis longissima,0.01,1.33333,0.0075,4,4,0.59375,0.466666667
Galathowenia oculata,0.00312,8.5,0.00037,1,2,0.575,0.833333333
Gattyana cirrhosa,0.00068,0.16667,0.0041,3,4,0.625,0.766666667
Golfingia (Golfingia) margaritacea,0.45353,0.83333,0.54424,3,4,0.520833333,0.9
Goniada maculata,0.00052,0.16667,0.0031,3,4,0.433333333,0.733333333
Goniada norvegica,0.02515,0.16667,0.1509,3,4,0.433333333,0.733333333
Harmothoe antilopes,0.00027,0.16667,0.0016,3,4,0.620833333,0.533333333
Harpinia antennaria,0.00359,4.66667,0.00077,3,2,0.35,0.35
Harpinia crenulata,0.0001,0.5,0.0002,3,2,0.35,0.35
Harpinia laevis,0.00002,0.16667,0.0001,3,2,0.35,0.35
Harpinia pectinata,0.00352,6.16667,0.00057,3,2,0.35,0.35
Hermania scabra,0.01723,0.5,0.03447,3,2,0.55,0.566666667
Heteromastus filiformis,0.07519,61,0.00123,2,3,0.6375,0.65
Hiatella arctica,0.00786,0.5,0.01573,2,1,0.5375,0.4
Jasmineira elegans,0.00007,0.16667,0.0004,1,2,0.5875,0.5
Kurtiella tumidula,0.00003,0.16667,0.0002,2,2,0.35,0.466666667
Labidoplax buskii,0.00172,0.66667,0.00258,3,2,0.525,0.266666667
Laonice sarsi,0.22763,6.5,0.03502,1,3,0.520833333,0.9
Leucon (Leucon) nasica,0.00423,6.83333,0.00062,3,2,0.3375,0.35
